second;src;dst;packetcount;src_ratio;dst_ratio;src_duration_ratio;dst_duration_ratio;TotalPacketDuration;TotalPacketLenght;src_packet_ratio;dst_packet_ratio;DioCount;DisCount;DaoCount;OtherMsg;label
1138.0;10;24;9;1.0;1.0;1.0;1.0;0.2490234375;594;1.0;1.0;0;9;0;9;1
1139.0;10;24;13;1.0;1.0;1.0;1.0;1.0169677734375;858;1.0;1.0;0;13;0;22;1
1140.0;10;24;13;1.0;1.0;1.0;1.0;0.9700927734375;858;1.0;1.0;0;13;0;35;1
1141.0;10;24;6;1.0;1.0;1.0;1.0;1.1090087890625;396;1.0;1.0;0;6;0;41;1
1142.0;10;24;7;1.0;1.0;1.0;1.0;0.9039306640625;462;1.0;1.0;0;7;0;48;1
1143.0;10;24;11;1.0;1.0;1.0;1.0;0.9720458984375;726;1.0;1.0;0;11;0;59;1
1144.0;10;24;8;1.0;1.0;1.0;1.0;1.1729736328125;528;1.0;1.0;0;8;0;67;1
1145.0;10;24;11;1.0;1.0;1.0;1.0;0.8389892578125;726;1.0;1.0;0;11;0;78;1
1146.0;10;24;8;1.0;1.0;1.0;1.0;1.22998046875;528;1.0;1.0;0;8;0;86;1
1147.0;10;24;9;1.0;1.0;1.0;1.0;0.85107421875;594;1.0;1.0;0;9;0;95;1
1148.0;10;24;10;1.0;1.0;1.0;1.0;0.98291015625;660;1.0;1.0;0;10;0;105;1
1149.0;10;24;6;1.0;1.0;1.0;1.0;1.10400390625;396;1.0;1.0;0;6;0;111;1
1150.0;10;24;4;1.0;1.0;1.0;1.0;0.989990234375;264;1.0;1.0;0;4;0;115;1
1151.0;10;24;7;1.0;1.0;1.0;1.0;0.9700927734375;462;1.0;1.0;0;7;0;122;1
1152.0;10;24;4;1.0;1.0;1.0;1.0;0.9110107421875;264;1.0;1.0;0;4;0;126;1
1153.0;10;24;10;1.0;1.0;1.0;1.0;1.208984375;660;1.0;1.0;0;10;0;136;1
1154.0;10;24;7;1.0;1.0;1.0;1.0;1.0439453125;462;1.0;1.0;0;7;0;143;1
1155.0;10;24;3;1.0;1.0;1.0;1.0;0.718017578125;198;1.0;1.0;0;3;0;146;1
1156.0;10;24;2;1.0;1.0;1.0;1.0;1.14697265625;132;1.0;1.0;0;2;0;148;1
1157.0;10;24;7;1.0;1.0;1.0;1.0;0.9599609375;462;1.0;1.0;0;7;0;155;1
1158.0;10;24;8;1.0;1.0;1.0;1.0;0.986083984375;528;1.0;1.0;0;8;0;163;1
1159.0;10;24;8;1.0;1.0;1.0;1.0;1.14501953125;528;1.0;1.0;0;8;0;171;1
1160.0;10;24;9;1.0;1.0;1.0;1.0;1.166015625;594;1.0;1.0;0;9;0;180;1
1161.0;10;24;8;1.0;1.0;1.0;1.0;1.5699462890625;528;1.0;1.0;0;8;0;188;1
1163.0;10;24;8;1.0;1.0;1.0;1.0;1.1309814453125;528;1.0;1.0;0;8;0;196;1
1164.0;10;24;27;1.0;1.0;1.0;1.0;0.883056640625;1782;1.0;1.0;0;27;0;223;1
1165.0;10;24;31;1.0;1.0;1.0;1.0;1.2760009765625;2046;1.0;1.0;0;31;0;254;1
1166.0;10;24;18;1.0;1.0;1.0;1.0;0.763916015625;1188;1.0;1.0;0;18;0;272;1
1167.0;1;22;9;1.0;1.0;1.0;1.0;0.965087890625;936;1.0;1.0;0;0;0;9;1
1168.0;1;22;4;0.21052631735801697;0.21052631735801697;0.3030642867088318;0.3030642867088318;0.2969970703125;416;0.29587483406066895;0.29587483406066895;0;0;0;13;1
1168.0;10;24;15;0.7894737124443054;0.7894737124443054;0.6969357132911682;0.6969357132911682;0.6829833984375;990;0.704125165939331;0.704125165939331;0;15;0;287;1
1169.0;10;24;11;1.0;1.0;1.0;1.0;1.0269775390625;726;1.0;1.0;0;11;0;298;1
1170.0;10;24;11;1.0;1.0;1.0;1.0;1.1119384765625;726;1.0;1.0;0;11;0;309;1
1171.0;10;24;10;1.0;1.0;1.0;1.0;0.9130859375;660;1.0;1.0;0;10;0;319;1
1172.0;10;24;9;1.0;1.0;1.0;1.0;1.012939453125;594;1.0;1.0;0;9;0;328;1
1173.0;10;24;5;1.0;1.0;1.0;1.0;1.072998046875;330;1.0;1.0;0;5;0;333;1
1174.0;10;24;7;1.0;1.0;1.0;1.0;0.988037109375;462;1.0;1.0;0;7;0;340;1
1175.0;10;24;5;1.0;1.0;1.0;1.0;0.875;330;1.0;1.0;0;5;0;345;1
1176.0;10;24;10;1.0;1.0;1.0;1.0;1.2249755859375;660;1.0;1.0;0;10;0;355;1
1177.0;10;24;6;1.0;1.0;1.0;1.0;0.9150390625;396;1.0;1.0;0;6;0;361;1
1178.0;10;24;4;1.0;1.0;1.0;1.0;0.9119873046875;264;1.0;1.0;0;4;0;365;1
1179.0;10;24;6;1.0;1.0;1.0;1.0;0.9620361328125;396;1.0;1.0;0;6;0;371;1
1180.0;10;24;7;1.0;1.0;1.0;1.0;1.23193359375;462;1.0;1.0;0;7;0;378;1
1181.0;10;24;7;1.0;1.0;1.0;1.0;0.799072265625;462;1.0;1.0;0;7;0;385;1
1182.0;10;24;8;1.0;1.0;1.0;1.0;1.1448974609375;528;1.0;1.0;0;8;0;393;1
1183.0;10;24;3;1.0;1.0;1.0;1.0;0.8179931640625;198;1.0;1.0;0;3;0;396;1
1184.0;10;24;12;1.0;1.0;1.0;1.0;1.123046875;792;1.0;1.0;0;12;0;408;1
1185.0;10;24;7;1.0;1.0;1.0;1.0;1.1839599609375;462;1.0;1.0;0;7;0;415;1
1186.0;10;24;10;1.0;1.0;1.0;1.0;0.8040771484375;660;1.0;1.0;0;10;0;425;1
1187.0;10;24;4;1.0;1.0;1.0;1.0;0.9100341796875;264;1.0;1.0;0;4;0;429;1
1188.0;10;24;4;1.0;1.0;1.0;1.0;1.0279541015625;264;1.0;1.0;0;4;0;433;1
1189.0;10;24;8;1.0;1.0;1.0;1.0;0.967041015625;528;1.0;1.0;0;8;0;441;1
1190.0;10;24;13;1.0;1.0;1.0;1.0;1.97900390625;858;1.0;1.0;0;13;0;454;1
1192.0;10;24;17;1.0;1.0;1.0;1.0;1.087890625;1122;1.0;1.0;0;17;0;471;1
1193.0;10;24;14;1.0;1.0;1.0;1.0;0.955078125;924;1.0;1.0;0;14;0;485;1
1194.0;10;24;15;1.0;1.0;1.0;1.0;1.39697265625;990;1.0;1.0;0;15;0;500;1
1195.0;10;24;18;1.0;1.0;1.0;1.0;0.6519775390625;1188;1.0;1.0;0;18;0;518;1
1196.0;10;24;26;1.0;1.0;1.0;1.0;1.697998046875;1716;1.0;1.0;0;26;0;544;1
1197.0;10;24;5;1.0;1.0;1.0;1.0;0.2520751953125;330;1.0;1.0;0;5;0;549;1
1198.0;10;24;20;1.0;1.0;1.0;1.0;1.00390625;1320;1.0;1.0;0;20;0;569;1
1199.0;10;24;8;1.0;1.0;1.0;1.0;0.987060546875;528;1.0;1.0;0;8;0;577;1
1200.0;10;24;7;1.0;1.0;1.0;1.0;1.0859375;462;1.0;1.0;0;7;0;584;1
1201.0;10;24;7;1.0;1.0;1.0;1.0;1.0150146484375;462;1.0;1.0;0;7;0;591;1
1202.0;10;24;7;1.0;1.0;1.0;1.0;0.97705078125;462;1.0;1.0;0;7;0;598;1
1203.0;10;24;8;1.0;1.0;1.0;1.0;1.0;528;1.0;1.0;0;8;0;606;1
1204.0;10;24;6;1.0;1.0;1.0;1.0;1.02001953125;396;1.0;1.0;0;6;0;612;1
1205.0;10;24;6;1.0;1.0;1.0;1.0;0.89794921875;396;1.0;1.0;0;6;0;618;1
1206.0;10;24;7;1.0;1.0;1.0;1.0;1.2779541015625;462;1.0;1.0;0;7;0;625;1
1207.0;10;24;6;1.0;1.0;1.0;1.0;0.943115234375;396;1.0;1.0;0;6;0;631;1
1208.0;10;24;5;1.0;1.0;1.0;1.0;1.0;330;1.0;1.0;0;5;0;636;1
1209.0;10;24;4;1.0;1.0;1.0;1.0;1.010986328125;264;1.0;1.0;0;4;0;640;1
1210.0;10;24;6;1.0;1.0;1.0;1.0;1.0880126953125;396;1.0;1.0;0;6;0;646;1
1211.0;10;24;3;1.0;1.0;1.0;1.0;0.6739501953125;198;1.0;1.0;0;3;0;649;1
1212.0;10;24;8;1.0;1.0;1.0;1.0;1.18798828125;528;1.0;1.0;0;8;0;657;1
1213.0;10;24;3;1.0;1.0;1.0;1.0;0.926025390625;198;1.0;1.0;0;3;0;660;1
1214.0;10;24;9;1.0;1.0;1.0;1.0;1.260986328125;594;1.0;1.0;0;9;0;669;1
1215.0;10;24;9;1.0;1.0;1.0;1.0;0.7650146484375;594;1.0;1.0;0;9;0;678;1
1216.0;10;24;2;1.0;1.0;1.0;1.0;1.0050048828125;132;1.0;1.0;0;2;0;680;1
1217.0;10;24;9;1.0;1.0;1.0;1.0;0.89599609375;594;1.0;1.0;0;9;0;689;1
1218.0;10;24;7;1.0;1.0;1.0;1.0;1.156982421875;462;1.0;1.0;0;7;0;696;1
1219.0;10;24;7;1.0;1.0;1.0;1.0;0.97705078125;462;1.0;1.0;0;7;0;703;1
1220.0;10;24;5;1.0;1.0;1.0;1.0;1.052978515625;330;1.0;1.0;0;5;0;708;1
1221.0;10;24;6;1.0;1.0;1.0;1.0;1.126953125;396;1.0;1.0;0;6;0;714;1
1222.0;10;24;6;1.0;1.0;1.0;1.0;1.7099609375;396;1.0;1.0;0;6;0;720;1
1224.0;10;24;8;1.0;1.0;1.0;1.0;1.1470947265625;528;1.0;1.0;0;8;0;728;1
1225.0;10;24;12;1.0;1.0;1.0;1.0;1.013916015625;792;1.0;1.0;0;12;0;740;1
1226.0;10;24;19;1.0;1.0;1.0;1.0;0.7640380859375;1254;1.0;1.0;0;19;0;759;1
1227.0;10;24;37;1.0;1.0;1.0;1.0;1.251953125;2442;1.0;1.0;0;37;0;796;1
1228.0;10;24;20;1.0;1.0;1.0;1.0;0.9290771484375;1320;1.0;1.0;0;20;0;816;1
1229.0;14;24;12;1.0;1.0;1.0;1.0;0.8690185546875;1188;1.0;1.0;0;0;0;12;1
1230.0;14;24;36;1.0;1.0;1.0;1.0;0.9468994140625;3564;1.0;1.0;0;0;0;48;1
1231.0;14;24;5;0.21739129722118378;1.0;0.20330104231834412;1.0;0.2510986328125;495;0.21739129722118378;1.0;0;0;0;53;1
1231.0;8;24;18;0.782608687877655;1.0;0.7966989278793335;1.0;0.9840087890625;1782;0.782608687877655;1.0;0;0;0;18;1
1232.0;8;24;18;1.0;1.0;1.0;1.0;0.8309326171875;1782;1.0;1.0;0;0;0;36;1
1233.0;8;24;14;1.0;1.0;1.0;1.0;0.9930419921875;1386;1.0;1.0;0;0;0;50;1
1234.0;10;14;11;0.7857142686843872;0.7857142686843872;0.7386206984519958;0.7386206984519958;0.52294921875;858;0.7428571581840515;0.7428571581840515;0;0;0;11;1
1234.0;8;24;3;0.2142857164144516;0.2142857164144516;0.26137930154800415;0.26137930154800415;0.18505859375;297;0.2571428716182709;0.2571428716182709;0;0;0;53;1
1235.0;10;24;11;1.0;0.550000011920929;1.0;0.8122222423553467;0.7138671875;726;1.0;0.5084033608436584;0;11;0;827;1
1235.0;10;14;9;1.0;0.44999998807907104;1.0;0.18777777254581451;0.1650390625;702;1.0;0.49159663915634155;0;0;0;20;1
1236.0;10;24;12;1.0;1.0;1.0;1.0;1.0660400390625;792;1.0;1.0;0;12;0;839;1
1237.0;10;24;11;1.0;1.0;1.0;1.0;1.0439453125;726;1.0;1.0;0;11;0;850;1
1238.0;10;24;8;1.0;1.0;1.0;1.0;1.08203125;528;1.0;1.0;0;8;0;858;1
1239.0;10;24;7;1.0;1.0;1.0;1.0;0.7880859375;462;1.0;1.0;0;7;0;865;1
1240.0;10;24;8;1.0;1.0;1.0;1.0;1.076904296875;528;1.0;1.0;0;8;0;873;1
1241.0;10;24;7;1.0;1.0;1.0;1.0;1.06103515625;462;1.0;1.0;0;7;0;880;1
1242.0;10;24;8;1.0;1.0;1.0;1.0;0.966064453125;528;1.0;1.0;0;8;0;888;1
1243.0;10;24;8;1.0;1.0;1.0;1.0;1.04296875;528;1.0;1.0;0;8;0;896;1
1244.0;10;24;6;1.0;1.0;1.0;1.0;1.0789794921875;396;1.0;1.0;0;6;0;902;1
1245.0;10;24;9;1.0;1.0;1.0;1.0;1.06201171875;594;1.0;1.0;0;9;0;911;1
1246.0;10;24;3;1.0;1.0;1.0;1.0;0.8089599609375;198;1.0;1.0;0;3;0;914;1
1247.0;10;24;7;1.0;1.0;1.0;1.0;1.0560302734375;462;1.0;1.0;0;7;0;921;1
1248.0;10;24;8;1.0;1.0;1.0;1.0;1.1419677734375;528;1.0;1.0;0;8;0;929;1
1249.0;10;24;4;1.0;1.0;1.0;1.0;0.77099609375;264;1.0;1.0;0;4;0;933;1
1250.0;10;24;7;1.0;1.0;1.0;1.0;1.083984375;462;1.0;1.0;0;7;0;940;1
1251.0;10;24;5;1.0;1.0;1.0;1.0;0.97998046875;330;1.0;1.0;0;5;0;945;1
1252.0;10;24;7;1.0;1.0;1.0;1.0;0.9820556640625;462;1.0;1.0;0;7;0;952;1
1253.0;10;24;7;1.0;1.0;1.0;1.0;1.219970703125;462;1.0;1.0;0;7;0;959;1
1254.0;10;24;7;1.0;1.0;1.0;1.0;0.89208984375;462;1.0;1.0;0;7;0;966;1
1255.0;10;24;2;1.0;1.0;1.0;1.0;0.81396484375;132;1.0;1.0;0;2;0;968;1
1256.0;10;24;10;1.0;1.0;1.0;1.0;1.281982421875;660;1.0;1.0;0;10;0;978;1
1257.0;10;24;2;1.0;1.0;1.0;1.0;0.8509521484375;132;1.0;1.0;0;2;0;980;1
1258.0;10;24;5;1.0;1.0;1.0;1.0;1.0540771484375;330;1.0;1.0;0;5;0;985;1
1259.0;10;24;11;1.0;1.0;1.0;1.0;1.10302734375;726;1.0;1.0;0;11;0;996;1
1260.0;10;24;11;1.0;1.0;1.0;1.0;0.7249755859375;726;1.0;1.0;0;11;0;1007;1
1261.0;10;24;4;1.0;1.0;1.0;1.0;1.4320068359375;264;1.0;1.0;0;4;0;1011;1
1262.0;10;24;1;1.0;1.0;1.0;1.0;0.513916015625;66;1.0;1.0;0;1;0;1012;1
